selection_rank	paper_id	doi	year	journal	title	species	tissue	figure_count	panel_count	tools_observed	skill_tags	digest_path
46	S0047	10.1016/j.devcel.2025.04.014	2025	Dev Cell	Genomic evolution reshapes cell-type diversification in the amniote brain.		brain	0	0			paper_digests/papers/S0047.md
47	S0048	10.1016/j.ebiom.2024.105363	2024	EBioMedicine	Chronic lung inflammation and CK14+ basal cell proliferation induce persistent alveolar-bronchiolization in SARS-CoV-2-infected hamsters.		lung	10	46	SAW:1;Seurat:1	spatial_domain:8;spatial_programs:7;developmental_trajectory:1;quality_control_preprocessing:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0048.md
48	S0049	10.1016/j.fmre.2022.01.036	2023	Fundam Res	Spatial transcriptome unveils a discontinuous inflammatory pattern in proficient mismatch repair colorectal adenocarcinoma.		carcinoma	4	17	SPOTlight:2;Seurat:1;GSEA:1;BayesSpace:1	spatial_domain:7;publication_plotting:3;quality_control_preprocessing:2;cell_type_mapping:1;spatial_cell_type_interpretation:1;spatial_programs:1	paper_digests/papers/S0049.md
49	S0050	10.1016/j.fmre.2025.04.014	2025	Fundam Res	Primary cilia in growth plates orchestrate long bone development.			8	39	SAW:1;Seurat:1;CellChat:1	spatial_programs:5;developmental_trajectory:4;spatial_domain:3;publication_plotting:3;spatial_cell_type_interpretation:1;cell_cell_interaction:1;spatial_communication:1;3d_reconstruction:1	paper_digests/papers/S0050.md
50	S0051	10.1016/j.gendis.2024.101304	2025	Genes Dis	Profiling the cell diversity and tissue structure of aqueous humor circulatory system in human eyes using spatial single-cell RNA sequencing.	human		1	9		publication_plotting:4;cell_type_mapping:3;spatial_domain:3;spatial_programs:2;spatial_cell_type_interpretation:1	paper_digests/papers/S0051.md
51	S0052	10.1016/j.heliyon.2023.e22461	2023	Heliyon	Cellular and molecular mechanisms of fibrosis and resolution in bleomycin-induced pulmonary fibrosis mouse model revealed by spatial transcriptome analysis.	mouse		6	6	SAW:1;Seurat:1;CellChat:1;GSEA:1	cell_type_mapping:4;developmental_trajectory:4;publication_plotting:3;spatial_programs:3;cell_cell_interaction:2;spatial_communication:2;quality_control_preprocessing:1	paper_digests/papers/S0052.md
52	S0053	10.1016/j.isci.2024.108941	2024	iScience	Effects of flora deficiency on the structure and function of the large intestine.		intestine	8	40	Seurat:6;BayesSpace:2;cell2location:1;Tangram:1;CellChat:1	spatial_programs:11;spatial_domain:10;cell_type_mapping:9;quality_control_preprocessing:7;publication_plotting:4;spatial_cell_type_interpretation:3;3d_reconstruction:1	paper_digests/papers/S0053.md
53	S0054	10.1016/j.isci.2024.109009	2024	iScience	Spatial and single-nucleus transcriptomics decoding the molecular landscape and cellular organization of avian optic tectum.	avian		5	28	spateo:2;SAW:1;Seurat:1;Scanpy:1;AnnData:1;SpaGCN:1	spatial_domain:16;publication_plotting:9;spatial_programs:6;quality_control_preprocessing:3;cell_type_mapping:3;spatial_cell_type_interpretation:2	paper_digests/papers/S0054.md
54	S0055	10.1016/j.isci.2025.112128	2025	iScience	Single-nucleus profiling decoding the subcortical visual pathway evolution of vertebrates.			5	27	SAW:1;Seurat:1;Scanpy:1;AnnData:1	spatial_programs:11;publication_plotting:11;spatial_domain:5;cell_type_mapping:4;spatial_grn_regulon:1	paper_digests/papers/S0055.md
55	S0056	10.1016/j.isci.2025.113626	2025	iScience	Single-cell and spatial transcriptomics reveal intratumor heterogeneity and immune evasion in natural killer/T cell lymphoma.		tumor	6	44	SPOTlight:2;SAW:1;Seurat:1;CellPhoneDB:1;Monocle:1;GSVA:1;GSEA:1	publication_plotting:18;cell_type_mapping:10;spatial_domain:6;developmental_trajectory:5;spatial_programs:2;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0056.md
56	S0057	10.1016/j.jdermsci.2024.11.001	2025	J Dermatol Sci	Unveiling intratumoral heterogeneity in high-risk cutaneous squamous cell carcinoma using single-cell spatial enhanced resolution omics-sequencing (Stereo-seq).		tumor;carcinoma	0	0			paper_digests/papers/S0057.md
57	S0058	10.1016/j.jgg.2023.04.001	2023	J Genet Genomics	VT3D: a visualization toolbox for 3D transcriptomic data.			0	0			paper_digests/papers/S0058.md
58	S0059	10.1016/j.jgg.2023.04.012	2023	J Genet Genomics	Microbiota-mediated shaping of mouse spleen structure and immune function characterized by scRNA-seq and Stereo-seq.	mouse	spleen	0	0			paper_digests/papers/S0059.md
59	S0060	10.1016/j.jgg.2024.04.002	2024	J Genet Genomics	DAIS: a method for identifying spatial domains based on density clustering of spatial omics data.			0	0			paper_digests/papers/S0060.md
60	S0061	10.1016/j.jid.2025.04.041	2026	J Invest Dermatol	High-Resolution Spatial Map of the Human Facial Sebaceous Gland Reveals Marker Genes and Decodes Sebocyte Differentiation.	human		0	0			paper_digests/papers/S0061.md
61	S0062	10.1016/j.jid.2025.08.011	2026	J Invest Dermatol	High-Resolution Spatial Transcriptomics Unveils Spatially Resolved Gene Modules and Fatty Acid Metabolism Dysregulation in Human Skin Aging.	human		0	0			paper_digests/papers/S0062.md
62	S0063	10.1016/j.molp.2025.02.003	2025	Mol Plant	A large-scale integrated transcriptomic atlas for soybean organ development.	soybean		0	0			paper_digests/papers/S0063.md
63	S0064	10.1016/j.molp.2025.04.001	2025	Mol Plant	Comparative spatial transcriptomics reveals root dryland adaptation mechanism in rice and HMGB1 as a key regulator.	rice	root	0	0			paper_digests/papers/S0064.md
64	S0065	10.1016/j.neuron.2025.02.015	2025	Neuron	Single-cell spatial transcriptomic atlas of the whole mouse brain.	mouse	brain	0	0			paper_digests/papers/S0065.md
65	S0066	10.1016/j.neuron.2025.03.002	2025	Neuron	Molecular pathways and diagnosis in spatially resolved Alzheimer's hippocampal atlas.			0	0			paper_digests/papers/S0066.md
66	S0067	10.1016/j.neuron.2025.04.026	2025	Neuron	Spatiotemporal transcriptomic maps of mouse intracerebral hemorrhage at single-cell resolution.	mouse		0	0			paper_digests/papers/S0067.md
67	S0068	10.1016/j.stem.2025.04.007	2025	Cell Stem Cell	3D reconstruction of a human Carnegie stage 9 embryo provides a snapshot of early body plan formation.	human	embryo	0	0			paper_digests/papers/S0068.md
68	S0069	10.1016/j.xcrm.2023.101231	2023	Cell Rep Med	Cancer-associated fibroblasts undergoing neoadjuvant chemotherapy suppress rectal cancer revealed by single-cell and spatial transcriptomics.		cancer	6	40	GSEA:3;SAW:1;Seurat:1;SPOTlight:1;CellChat:1;CellPhoneDB:1;NicheNet:1;Slingshot:1;Harmony:1	spatial_programs:19;publication_plotting:10;spatial_cell_type_interpretation:7;cell_type_mapping:5;cell_cell_interaction:1;spatial_communication:1;quality_control_preprocessing:1;developmental_trajectory:1;spatial_domain:1	paper_digests/papers/S0069.md
69	S0070	10.1016/j.xcrm.2024.101914	2025	Cell Rep Med	High cellular plasticity state of medulloblastoma local recurrence and distant dissemination.			7	69	GSVA:2;GSEA:2;Seurat:1;Scanpy:1	publication_plotting:11;spatial_programs:7;spatial_domain:5;cell_type_mapping:3;cell_cell_interaction:3;spatial_communication:3;spatial_grn_regulon:1	paper_digests/papers/S0070.md
70	S0071	10.1016/j.xcrm.2025.102140	2025	Cell Rep Med	Targeting mitochondrial complex I of CD177+ neutrophils alleviates lung ischemia-reperfusion injury.		lung	6	52	Monocle:2;SAW:1;Stereopy:1;Seurat:1;GSEA:1;Harmony:1	publication_plotting:12;spatial_domain:6;spatial_programs:6;spatial_cell_type_interpretation:5;cell_type_mapping:2;developmental_trajectory:2;quality_control_preprocessing:1;cell_cell_interaction:1	paper_digests/papers/S0071.md
71	S0072	10.1038/s41380-024-02659-6	2025	Mol Psychiatry	Astrocytic Neuroligin-3 influences gene expression and social behavior, but is dispensable for synapse number.			0	0			paper_digests/papers/S0072.md
72	S0073	10.1038/s41392-025-02143-9	2025	Signal Transduct Target Ther	Spatiotemporal transcriptomics elucidates the pathogenesis of fulminant viral myocarditis.		myocarditis	6	14	Seurat:3;SAW:1;cell2location:1;CellChat:1;Monocle:1;Slingshot:1;pySCENIC:1;GSEA:1;Harmony:1	publication_plotting:8;spatial_domain:8;cell_type_mapping:7;spatial_programs:5;cell_cell_interaction:3;spatial_communication:3;developmental_trajectory:2;spatial_grn_regulon:2	paper_digests/papers/S0073.md
73	S0074	10.1038/s41421-024-00656-1	2024	Cell Discov	Single-cell multi-omics analysis of lineage development and spatial organization in the human fetal cerebellum.	human	cerebellum	5	5	SAW:1;Stereopy:1;Seurat:1;Monocle:1;scVelo:1;GSEA:1;Harmony:1	developmental_trajectory:5;publication_plotting:4;spatial_grn_regulon:4;cell_type_mapping:3;spatial_domain:3;spatial_programs:3;cell_cell_interaction:1;spatial_communication:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0074.md
74	S0075	10.1038/s41421-024-00733-5	2024	Cell Discov	Single-cell spatiotemporal analysis reveals alveolar dendritic cell-T cell immunity hubs defending against pulmonary infection.			5	8	AnnData:2;SAW:1;Seurat:1;Scanpy:1;CellChat:1;Harmony:1	spatial_cell_type_interpretation:6;cell_type_mapping:5;spatial_domain:5;publication_plotting:4;cell_cell_interaction:3;spatial_communication:3;spatial_programs:2;developmental_trajectory:1;quality_control_preprocessing:1	paper_digests/papers/S0075.md
75	S0076	10.1038/s41421-024-00734-4	2024	Cell Discov	Single-cell spatiotemporal analysis of the lungs reveals Slamf9+ macrophages involved in viral clearance and inflammation resolution.		lung	5	11	SAW:1;Seurat:1;Scanpy:1;CellChat:1;Monocle:1;scVelo:1;Harmony:1	cell_type_mapping:5;publication_plotting:3;quality_control_preprocessing:3;spatial_programs:3;developmental_trajectory:2;spatial_domain:2;spatial_cell_type_interpretation:1;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0076.md
76	S0077	10.1038/s41421-024-00740-6	2024	Cell Discov	A spatiotemporal transcriptomic atlas of mouse placentation.	mouse	placenta;placentation	6	8	SAW:1;Stereopy:1;Seurat:1;Scanpy:1;cell2location:1;Tangram:1;CellChat:1;CellPhoneDB:1;scVelo:1;dynamo:1;spateo:1;pySCENIC:1	quality_control_preprocessing:6;spatial_domain:6;developmental_trajectory:5;cell_type_mapping:4;spatial_grn_regulon:4;publication_plotting:3;spatial_cell_type_interpretation:3;spatial_programs:3;cell_cell_interaction:2;spatial_communication:2	paper_digests/papers/S0077.md
77	S0078	10.1038/s41421-024-00747-z	2025	Cell Discov	Stromal architecture and fibroblast subpopulations with opposing effects on outcomes in hepatocellular carcinoma.		carcinoma	7	12	GSEA:2;Seurat:1;SPOTlight:1;CellPhoneDB:1;GSVA:1;SpaGCN:1;Harmony:1;OpenCV:1	publication_plotting:8;spatial_programs:6;spatial_domain:5;spatial_cell_type_interpretation:3;quality_control_preprocessing:3;cell_cell_interaction:3;spatial_communication:3;cell_type_mapping:2;3d_reconstruction:1;developmental_trajectory:1;spatial_grn_regulon:1	paper_digests/papers/S0078.md
78	S0079	10.1038/s41422-021-00540-7	2022	Cell Res	Identification of HSC/MPP expansion units in fetal liver by single-cell spatiotemporal transcriptomics.		liver	0	0			paper_digests/papers/S0079.md
79	S0080	10.1038/s41422-023-00831-1	2023	Cell Res	An invasive zone in human liver cancer identified by Stereo-seq promotes hepatocyte-tumor cell crosstalk, local immunosuppression and tumor progression.	human	liver;tumor;cancer	7	7	GSVA:4;pySCENIC:2;Seurat:1;SPOTlight:1;CellPhoneDB:1;GSEA:1;OpenCV:1	spatial_domain:5;spatial_cell_type_interpretation:5;cell_type_mapping:4;publication_plotting:4;spatial_programs:4;cell_cell_interaction:2;spatial_communication:2;quality_control_preprocessing:1;3d_reconstruction:1;spatial_grn_regulon:1	paper_digests/papers/S0080.md
80	S0081	10.1038/s41467-022-29439-6	2022	Nat Commun	Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder.			7	7	Scanpy:5;SpaGCN:2;BayesSpace:2;AnnData:1;SPOTlight:1;Giotto:1	spatial_domain:7;publication_plotting:4;quality_control_preprocessing:3;3d_reconstruction:2;cell_type_mapping:1;spatial_programs:1;developmental_trajectory:1	paper_digests/papers/S0081.md
81	S0082	10.1038/s41467-022-34413-3	2022	Nat Commun	Spatially resolved gene regulatory and disease-related vulnerability map of the adult Macaque cortex.	macaque	cortex	6	8	Seurat:2;SPOTlight:1;Monocle:1;GSEA:1	publication_plotting:7;spatial_programs:6;cell_type_mapping:4;spatial_domain:3;spatial_cell_type_interpretation:1;quality_control_preprocessing:1;cell_cell_interaction:1;developmental_trajectory:1;spatial_communication:1	paper_digests/papers/S0082.md
82	S0083	10.1038/s41467-022-35288-0	2022	Nat Commun	Spatial-ID: a cell typing method for spatially resolved transcriptomics via transfer learning and spatial embedding.			6	11	Seurat:1;Scanpy:1;RCTD/spacexr:1;SPOTlight:1;cell2location:1;Tangram:1;SingleR:1;SpaGCN:1	cell_type_mapping:10;publication_plotting:6;spatial_domain:5;3d_reconstruction:1;quality_control_preprocessing:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0083.md
83	S0084	10.1038/s41467-023-36796-3	2023	Nat Commun	Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST.			6	6	GraphST:7;SpaGCN:3;Seurat:2;BayesSpace:2;Giotto:2;Scanpy:2;Harmony:2;cell2location:2;RCTD/spacexr:1;SPOTlight:1;Tangram:1;GSEA:1	spatial_domain:6;spatial_programs:2;publication_plotting:2;cell_type_mapping:2;quality_control_preprocessing:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0084.md
84	S0085	10.1038/s41467-023-42658-9	2023	Nat Commun	Dbh+ catecholaminergic cardiomyocytes contribute to the structure and function of the cardiac conduction system in murine heart.	mouse	heart	9	15	SAW:1;Seurat:1;RCTD/spacexr:1	spatial_domain:10;cell_type_mapping:2;developmental_trajectory:2;publication_plotting:2;quality_control_preprocessing:2;3d_reconstruction:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0085.md
85	S0086	10.1038/s41467-023-43105-5	2023	Nat Commun	Spatial-linked alignment tool (SLAT) for aligning heterogenous slices.			4	5	Seurat:2;Harmony:2;Scanpy:1;pySCENIC:1;GraphST:1	3d_reconstruction:4;spatial_domain:4;cell_type_mapping:3;publication_plotting:3;developmental_trajectory:1	paper_digests/papers/S0086.md
86	S0087	10.1038/s41467-023-44367-9	2024	Nat Commun	MENDER: fast and scalable tissue structure identification in spatial omics data.			6	6	Seurat:1;Scanpy:1;AnnData:1;Tangram:1;SpaGCN:1;BayesSpace:1;Squidpy:1;Harmony:1	spatial_domain:5;publication_plotting:2;cell_type_mapping:1	paper_digests/papers/S0087.md
87	S0088	10.1038/s41467-024-50737-8	2024	Nat Commun	Mapping the molecular landscape of Lotus japonicus nodule organogenesis through spatiotemporal transcriptomics.	lotus	nodule	4	7	Monocle:3;Slingshot:3;SAW:1;Seurat:1;Scanpy:1;Giotto:1;Harmony:1	spatial_domain:6;developmental_trajectory:4;publication_plotting:4;quality_control_preprocessing:4;spatial_programs:3	paper_digests/papers/S0088.md
88	S0089	10.1038/s41467-024-53756-7	2024	Nat Commun	Tracing the evolutionary and genetic footprints of atmospheric tillandsioids transition from land to air.			8	28	Monocle:2;SAW:1;Stereopy:1;Seurat:1;SPIDER:1	spatial_programs:9;spatial_domain:6;spatial_cell_type_interpretation:5;cell_type_mapping:5;developmental_trajectory:3;quality_control_preprocessing:2;publication_plotting:1	paper_digests/papers/S0089.md
89	S0090	10.1038/s41467-024-54710-3	2024	Nat Commun	Spatially organized tumor-stroma boundary determines the efficacy of immunotherapy in colorectal cancer patients.	human	tumor;cancer	6	7	RCTD/spacexr:3;GSEA:2;Seurat:1;Scanpy:1;AnnData:1;Monocle:1;Slingshot:1	publication_plotting:6;spatial_domain:6;spatial_programs:3;cell_type_mapping:3;spatial_cell_type_interpretation:2;cell_cell_interaction:2;spatial_communication:2;developmental_trajectory:1	paper_digests/papers/S0090.md
90	S0091	10.1038/s41467-024-54715-y	2025	Nat Commun	Stereo-seq of the prefrontal cortex in aging and Alzheimer's disease.		cortex	7	12	SAW:1;Stereopy:1;Scanpy:1;CellChat:1;Harmony:1	spatial_domain:9;publication_plotting:7;spatial_programs:3;quality_control_preprocessing:2;cell_cell_interaction:2;spatial_communication:2;spatial_cell_type_interpretation:1	paper_digests/papers/S0091.md
91	S0092	10.1038/s41467-025-56501-w	2025	Nat Commun	Cloned airway basal progenitor cells to repair fibrotic lung through re-epithelialization.		lung	5	13	SAW:1;Seurat:1	3d_reconstruction:2;quality_control_preprocessing:2;spatial_domain:2;developmental_trajectory:1;publication_plotting:1;spatial_programs:1	paper_digests/papers/S0092.md
92	S0093	10.1038/s41467-025-58079-9	2025	Nat Commun	Stereopy: modeling comparative and spatiotemporal cellular heterogeneity via multi-sample spatial transcriptomics.			5	7	Stereopy:7;Seurat:2;Scanpy:2;Giotto:2;AnnData:1;SingleR:1;CellPhoneDB:1;NicheNet:1;SpaGRN:1;GraphST:1;SpaGCN:1;Squidpy:1	developmental_trajectory:5;3d_reconstruction:4;spatial_programs:4;publication_plotting:4;spatial_domain:4;cell_type_mapping:4;spatial_cell_type_interpretation:3;spatial_grn_regulon:2;cell_cell_interaction:1;spatial_communication:1	paper_digests/papers/S0093.md
