selection_rank	paper_id	doi	year	journal	title	species	tissue	figure_count	panel_count	tools_observed	skill_tags	digest_path
106	S0107	10.1038/s41586-025-08880-9	2025	Nature	Psychedelic control of neuroimmune interactions governing fear.			0	0			paper_digests/papers/S0107.md
107	S0108	10.1038/s41588-023-01546-0	2023	Nat Genet	Chromosome-level genomes of three key Allium crops and their trait evolution.			0	0			paper_digests/papers/S0108.md
108	S0109	10.1038/s41588-023-01570-0	2023	Nat Genet	Multiomic analysis of cervical squamous cell carcinoma identifies cellular ecosystems with biological and clinical relevance.		carcinoma	0	0			paper_digests/papers/S0109.md
109	S0110	10.1038/s41588-024-01687-w	2024	Nat Genet	A spatiotemporal atlas of cholestatic injury and repair in mice.	mouse		0	0			paper_digests/papers/S0110.md
110	S0111	10.1038/s41588-024-01709-7	2024	Nat Genet	A spatiotemporal atlas of mouse liver homeostasis and regeneration.	mouse	liver	0	0			paper_digests/papers/S0111.md
111	S0112	10.1038/s41588-025-02341-9	2025	Nat Genet	Single-cell multi-omic and spatial profiling of esophageal squamous cell carcinoma reveals the immunosuppressive role of GPR116+ pericytes in cancer metastasis.		cancer;carcinoma	0	0			paper_digests/papers/S0112.md
112	S0113	10.1038/s41591-025-03592-z	2025	Nat Med	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	human		14	14	CellChat:5;GSEA:2;Seurat:2;SAW:1;Stereopy:1;AnnData:1;SingleR:1	spatial_domain:13;publication_plotting:12;spatial_programs:10;cell_type_mapping:7;cell_cell_interaction:6;spatial_communication:6;quality_control_preprocessing:3;developmental_trajectory:2;spatial_cell_type_interpretation:1	paper_digests/papers/S0113.md
113	S0114	10.1038/s41592-024-02316-4	2024	Nat Methods	Deciphering spatial domains from spatial multi-omics with SpatialGlue.			14	14	Seurat:11;Scanpy:1;GraphST:1;SpaGCN:1	spatial_domain:13;spatial_programs:3;publication_plotting:3;quality_control_preprocessing:2;cell_type_mapping:2;3d_reconstruction:1	paper_digests/papers/S0114.md
114	S0115	10.1038/s41592-025-02658-7	2025	Nat Methods	Tri-omic single-cell mapping of the 3D epigenome and transcriptome in whole mouse brains throughout the lifespan.	mouse	brain	0	0			paper_digests/papers/S0115.md
115	S0116	10.1038/s41597-025-05838-4	2025	Sci Data	A dataset of spatially resolved transcriptomics of post-natal cardiac development in mice.	mouse		6	6	SAW:1;Seurat:1;SingleR:1	quality_control_preprocessing:5;publication_plotting:3;spatial_domain:2;cell_type_mapping:1	paper_digests/papers/S0116.md
116	S0117	10.1038/s41698-023-00430-8	2023	NPJ Precis Oncol	Clonal dynamics and Stereo-seq resolve origin and phenotypic plasticity of adenosquamous carcinoma.		carcinoma	7	7	Stereopy:1;Seurat:1;Scanpy:1	developmental_trajectory:1;spatial_domain:1	paper_digests/papers/S0117.md
117	S0118	10.1038/s42255-022-00713-7	2023	Nat Metab	Implantation underneath the abdominal anterior rectus sheath enables effective and functional engraftment of stem-cell-derived islets.			0	0			paper_digests/papers/S0118.md
118	S0119	10.1038/s43018-023-00672-2	2024	Nat Cancer	Presence of onco-fetal neighborhoods in hepatocellular carcinoma is associated with relapse and response to immunotherapy.		carcinoma	0	0			paper_digests/papers/S0119.md
119	S0120	10.1038/s43587-024-00672-6	2024	Nat Aging	Maternal age enhances purifying selection on pathogenic mutations in complex I genes of mammalian mtDNA.			0	0			paper_digests/papers/S0120.md
120	S0121	10.1038/s43587-025-00857-7	2025	Nat Aging	Quasi-spatial single-cell transcriptome based on physical tissue properties defines early aging associated niche in liver.		liver	0	0			paper_digests/papers/S0121.md
121	S0122	10.1038/s43587-025-00909-y	2025	Nat Aging	Age-dependent accumulation of mitochondrial tRNA mutations in mouse kidneys linked to mitochondrial kidney diseases.	mouse	kidney	0	0			paper_digests/papers/S0122.md
122	S0123	10.1038/s44161-025-00639-9	2025	Nat Cardiovasc Res	Single-cell spatial transcriptomics of tertiary lymphoid organ-like structures in human atherosclerotic plaques.	human		0	0			paper_digests/papers/S0123.md
123	S0124	10.1073/pnas.2310163120	2023	Proc Natl Acad Sci U S A	Spatial transcriptomics reveals light-induced chlorenchyma cells involved in promoting shoot regeneration in tomato callus.			5	14	SAW:1;Seurat:1;scVelo:1;dynamo:1	spatial_programs:7;spatial_domain:6;publication_plotting:4;cell_type_mapping:2;quality_control_preprocessing:2;spatial_cell_type_interpretation:1;developmental_trajectory:1	paper_digests/papers/S0124.md
124	S0125	10.1073/pnas.2408939121	2024	Proc Natl Acad Sci U S A	Lamination-based organoid spatially resolved transcriptomics technique for primary lung and liver organoid characterization.		lung;liver	4	4	Stereopy:1	spatial_domain:4;cell_type_mapping:3;publication_plotting:3	paper_digests/papers/S0125.md
125	S0126	10.1073/pnas.2417445122	2025	Proc Natl Acad Sci U S A	DDX24 spatiotemporally orchestrates VEGF and Wnt signaling during developmental angiogenesis.			6	6	NicheNet:2;GSEA:1	developmental_trajectory:3;spatial_cell_type_interpretation:3;spatial_programs:3;cell_type_mapping:2;quality_control_preprocessing:2;spatial_domain:2;3d_reconstruction:1;cell_cell_interaction:1;publication_plotting:1;spatial_communication:1	paper_digests/papers/S0126.md
126	S0127	10.1073/pnas.2420466122	2025	Proc Natl Acad Sci U S A	An atlas of early human mandibular endochondral and osteogenic paracrine signaling regions of Meckel's cartilage.	human		6	6	Seurat:1;CellChat:1;CellPhoneDB:1;Harmony:1	publication_plotting:5;developmental_trajectory:4;spatial_domain:4;cell_type_mapping:2;cell_cell_interaction:2;spatial_communication:2;3d_reconstruction:1;spatial_cell_type_interpretation:1;spatial_programs:1;spatial_grn_regulon:1	paper_digests/papers/S0127.md
127	S0128	10.1093/bib/bbae250	2024	Brief Bioinform	Benchmarking mapping algorithms for cell-type annotating in mouse brain by integrating single-nucleus RNA-seq and Stereo-seq data.	mouse	brain	5	5	RCTD/spacexr:2;Seurat:1;AnnData:1;cell2location:1;Tangram:1;Giotto:1	spatial_domain:4;cell_type_mapping:4;publication_plotting:2;quality_control_preprocessing:1	paper_digests/papers/S0128.md
128	S0129	10.1093/bib/bbaf210	2025	Brief Bioinform	StereoMM: a graph fusion model for integrating spatial transcriptomic data and pathological images.			6	6	GSEA:3;Stereopy:1;Scanpy:1;AnnData:1;cell2location:1;SpaGCN:1	spatial_programs:5;spatial_domain:5;publication_plotting:4;cell_cell_interaction:2;spatial_communication:2;spatial_cell_type_interpretation:2;quality_control_preprocessing:1;spatial_grn_regulon:1	paper_digests/papers/S0129.md
129	S0130	10.1093/bjd/ljae459	2025	Br J Dermatol	Multitranscriptome analysis reveals stromal cells in the papillary dermis to promote angiogenesis in psoriasis vulgaris.			0	0			paper_digests/papers/S0130.md
130	S0131	10.1093/gigascience/giae042	2024	Gigascience	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.			5	36	Seurat:1;Scanpy:1;GraphST:1;SpaGCN:1;BayesSpace:1;Harmony:1	publication_plotting:14;spatial_domain:11;cell_type_mapping:8;spatial_programs:4;quality_control_preprocessing:4;developmental_trajectory:2;spatial_cell_type_interpretation:2;3d_reconstruction:1	paper_digests/papers/S0131.md
131	S0132	10.1093/gpbjnl/qzaf053	2025	Genomics Proteomics Bioinformatics	Spatial Transcriptomics Unveils the Blueprint of Mammalian Lung Development.		lung	0	0			paper_digests/papers/S0132.md
132	S0133	10.1093/hr/uhaf243	2025	Hortic Res	Uncovering the genetic architecture of pungency, carotenoids, and flavor in Capsicum chinense via TWAS-mGWAS integration and spatial transcriptomics.			5	9		spatial_programs:4;publication_plotting:3;quality_control_preprocessing:2;spatial_domain:2;spatial_cell_type_interpretation:1;spatial_grn_regulon:1	paper_digests/papers/S0133.md
133	S0134	10.1093/jmcb/mjaf032	2026	J Mol Cell Biol	The tumor-associated fibroblasts regulate urothelial carcinoma progression.		tumor;carcinoma	6	6	CellPhoneDB:2;Seurat:1;SPOTlight:1;Monocle:1;pySCENIC:1;GSVA:1;GSEA:1;Harmony:1	spatial_domain:4;publication_plotting:3;cell_type_mapping:2;spatial_programs:2;cell_cell_interaction:1;spatial_communication:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0134.md
134	S0135	10.1093/nar/gkad419	2023	Nucleic Acids Res	STellaris: a web server for accurate spatial mapping of single cells based on spatial transcriptomics data.			4	4	Seurat:1;Scanpy:1;cell2location:1;Tangram:1;CellPhoneDB:1	cell_type_mapping:3;publication_plotting:3;cell_cell_interaction:1;spatial_communication:1;spatial_domain:1	paper_digests/papers/S0135.md
135	S0136	10.1093/nar/gkad933	2024	Nucleic Acids Res	STOmicsDB: a comprehensive database for spatial transcriptomics data sharing, analysis and visualization.			5	5	Scanpy:1;AnnData:1;SingleR:1	spatial_programs:1	paper_digests/papers/S0136.md
136	S0137	10.1093/nargab/lqaf044	2025	NAR Genom Bioinform	Fast analysis of Spatial Transcriptomics (FaST): an ultra lightweight and fast pipeline for the analysis of high resolution spatial transcriptomics.			4	7	Scanpy:3;AnnData:3;Seurat:1;spateo:1	spatial_domain:4;publication_plotting:2;cell_type_mapping:1	paper_digests/papers/S0137.md
137	S0138	10.1093/nsr/nwaf388	2025	National Science Review	Microglial function alterations during healthy ageing and canine cognitive dysfunction revealed by single-nucleus and spatial transcriptomics			0	0			paper_digests/papers/S0138.md
138	S0139	10.1093/plcell/koaf253	2025	Plant Cell	Single-cell and spatial omics reveal progressive loss of xylem developmental complexity across seed plants.		xylem	0	0			paper_digests/papers/S0139.md
139	S0140	10.1097/hc9.0000000000000662	2025	Hepatol Commun	Integrative single-cell and spatial transcriptome analysis reveals heterogeneity of human liver progenitor cells.	human	liver	10	36	Monocle:2;GSEA:2;SAW:1;Seurat:1;RCTD/spacexr:1;Harmony:1	spatial_programs:16;publication_plotting:15;spatial_domain:8;developmental_trajectory:6;cell_type_mapping:5;quality_control_preprocessing:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0140.md
140	S0141	10.1101/2025.01.14.632962	2025		Mapping spatially-resolved transcriptomes in systemic sclerosis			0	0			paper_digests/papers/S0141.md
141	S0142	10.1101/gr.277670.123	2023	Genome Res	Partial alignment of multislice spatially resolved transcriptomics data.			5	5	Tangram:2;SimpleITK:1	3d_reconstruction:5;cell_type_mapping:2;spatial_domain:1	paper_digests/papers/S0142.md
142	S0143	10.1101/gr.279857.124	2025	Genome Res	Dissecting multilayer cell-cell communications with signaling feedback loops from spatial transcriptomics data.			5	7	stMLnet:6;NicheNet:2;COMMOT:2;CellChat:1;CellPhoneDB:1;Squidpy:1;Giotto:1	spatial_domain:6;cell_cell_interaction:4;cell_type_mapping:4;spatial_communication:4;publication_plotting:3;quality_control_preprocessing:2;spatial_grn_regulon:1;spatial_programs:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0143.md
143	S0144	10.1111/nph.70160	2025	New Phytol	Single-cell multiome reveals root hair-specific responses to salt stress.		root	6	33	pySCENIC:2;Seurat:1;Scanpy:1	publication_plotting:11;cell_type_mapping:11;spatial_domain:7;spatial_grn_regulon:4;quality_control_preprocessing:3;spatial_programs:3;developmental_trajectory:3	paper_digests/papers/S0144.md
144	S0145	10.1111/pbi.13884	2022	Plant Biotechnol J	Spatial transcriptome analysis on peanut tissues shed light on cell heterogeneity of the peg.			1	8	Monocle:1	spatial_domain:3;publication_plotting:2;spatial_cell_type_interpretation:2	paper_digests/papers/S0145.md
145	S0146	10.1111/pbi.14294	2024	Plant Biotechnol J	Spatiotemporal transcriptomic atlas of rhizome formation in Oryza longistaminata.			6	44	SAW:1;Stereopy:1;Seurat:1;dynamo:1;Giotto:1;Harmony:1	spatial_domain:14;publication_plotting:9;developmental_trajectory:7;3d_reconstruction:2;spatial_programs:1	paper_digests/papers/S0146.md
146	S0147	10.1111/pbi.70351	2025	Plant Biotechnol J	Spatial Transcriptomics of Developing Wheat Seed Reveals Concentric Gene Expression Zones and Subgenome Biased Expression of Key Genes.			5	34	SAW:1;Stereopy:1	spatial_domain:12;quality_control_preprocessing:2;3d_reconstruction:1	paper_digests/papers/S0147.md
147	S0148	10.1126/sciadv.adi4777	2023	Sci Adv	Adrenomedullin has a pivotal role in trophoblast differentiation: A promising nanotechnology-based therapeutic target for early-onset preeclampsia.			8	21	Scanpy:1;cell2location:1	developmental_trajectory:6;spatial_domain:4;publication_plotting:2;spatial_grn_regulon:2;quality_control_preprocessing:2;cell_type_mapping:1;spatial_programs:1	paper_digests/papers/S0148.md
148	S0149	10.1126/sciadv.adi9035	2024	Sci Adv	Spatially resolved single-cell atlas of ascidian endostyle provides insight into the origin of vertebrate pharyngeal organs.	ascidian		5	8	SAW:1;Seurat:1;CellChat:1;Monocle:1;dynamo:1	spatial_domain:5;developmental_trajectory:4;publication_plotting:4;spatial_cell_type_interpretation:2;spatial_programs:2;cell_type_mapping:2;cell_cell_interaction:1;spatial_communication:1;spatial_grn_regulon:1	paper_digests/papers/S0149.md
149	S0150	10.1126/science.abp9444	2022	Science	Single-cell Stereo-seq reveals induced progenitor cells involved in axolotl brain regeneration.		brain	0	0			paper_digests/papers/S0150.md
150	S0151	10.1126/science.adj9198	2024	Science	Whole-brain spatial organization of hippocampal single-neuron projectomes.		brain	0	0			paper_digests/papers/S0151.md
151	S0152	10.1126/science.ado3927	2024	Science	Cross-species single-cell spatial transcriptomic atlases of the cerebellar cortex.		cortex	0	0			paper_digests/papers/S0152.md
152	S0153	10.1126/science.adp0176	2025	Science	Reactivation of mammalian regeneration by turning on an evolutionarily disabled genetic switch.			0	0			paper_digests/papers/S0153.md
153	S0154	10.1126/science.adr0475	2025	Science	Stereo-cell: Spatial enhanced-resolution single-cell sequencing with high-density DNA nanoball-patterned arrays.			0	0			paper_digests/papers/S0154.md
154	S0155	10.1136/jitc-2023-sitc2023.1512	2023	Late-Breaking Abstracts	1512 Single-cell resolution spatial transcriptomics detection of pathogens followed by studying the immune milieu: using virus-associated cancers from different organs as paradigm		cancer	0	0			paper_digests/papers/S0155.md
155	S0156	10.1136/jitc-2024-sitc2024.0172	2024	Regular and Young Investigator Award Abstracts	172 The application of single-cell resolved spatial transcriptomics to prostate adenocarcinoma reveals tumor microenvironmental signatures that correlate with distinct histological features		tumor;carcinoma	0	0			paper_digests/papers/S0156.md
156	S0157	10.1136/jitc-2024-sitc2024.1144	2024	Regular and Young Investigator Award Abstracts	1144 Combined CAR-M and T cell therapy to remodel TGFbeta-rich solid tumors		tumor	0	0			paper_digests/papers/S0157.md
157	S0158	10.1158/0008-5472.can-24-1509	2025	Cancer Res	Spatial and Single-Cell Analyses Reveal Heterogeneity of DNAM-1 Receptor-Ligand Interactions That Instructs Intratumoral γδT-cell Activity.		tumor	8	8	Monocle:2;SAW:1;Seurat:1;spateo:1;GSVA:1;GSEA:1;Harmony:1	cell_type_mapping:3;publication_plotting:3;spatial_programs:3;spatial_cell_type_interpretation:2;spatial_domain:1;cell_cell_interaction:1;spatial_communication:1;developmental_trajectory:1	paper_digests/papers/S0158.md
158	S0159	10.1158/1538-7445.am2025-151	2025	Cancer Research	Abstract 151: Spatial patterns of APOBEC mutagenesis in the tumor microenvironment of Asian breast cancer		tumor;cancer	0	0			paper_digests/papers/S0159.md
159	S0160	10.1158/1538-7445.am2025-5302	2025	Cancer Research	Abstract 5302: Mapping the tumor microenvironment at single-cell resolution with Stereo-seq v1.3		tumor	0	0			paper_digests/papers/S0160.md
160	S0161	10.1158/2159-8290.cd-24-0605	2025	Cancer Discov	Spatially Resolved Tumor Ecosystems and Cell States in Gastric Adenocarcinoma Progression and Evolution.		tumor;carcinoma	7	9	GSEA:3;Scanpy:2;SAW:1;Stereopy:1;Seurat:1;Monocle:1;Slingshot:1;GSVA:1	publication_plotting:9;spatial_domain:8;cell_type_mapping:4;spatial_programs:3;developmental_trajectory:1;quality_control_preprocessing:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0161.md
161	S0162	10.1177/00220345241232317	2024	J Dent Res	Spatiotemporal Evolution of Developing Palate in Mice.	mouse	palate	0	0			paper_digests/papers/S0162.md
162	S0163	10.1182/blood-2024-207103	2024	Blood	Clinical Features of Cutaneous T-Cell Lymphoma and the Application of Anti-PD-1 Antibodies in Relapsed /Refractory Patients	human		0	0			paper_digests/papers/S0163.md
163	S0164	10.1182/blood.2023021992	2024	Blood	Single-cell landscape of idiopathic multicentric Castleman disease in identical twins.			0	0			paper_digests/papers/S0164.md
164	S0165	10.1186/s12864-024-10672-w	2024	BMC Genomics	Spatial transcriptome reveals the region-specific genes and pathways regulated by Satb2 in neocortical development.			4	5	SAW:1;Stereopy:1;Seurat:1;Monocle:1	spatial_domain:3;developmental_trajectory:2;publication_plotting:1;quality_control_preprocessing:1;spatial_programs:1	paper_digests/papers/S0165.md
165	S0166	10.1186/s12943-025-02231-y	2025	Mol Cancer	Comprehensive single-cell atlas of colorectal neuroendocrine tumors with liver metastases: unraveling tumor microenvironment heterogeneity between primary lesions and metastases.		liver;tumor	8	12	Monocle:6;GSEA:2;Seurat:1;Harmony:1	spatial_programs:10;publication_plotting:9;spatial_domain:8;cell_type_mapping:7;developmental_trajectory:5;spatial_cell_type_interpretation:5;cell_cell_interaction:5;spatial_communication:5	paper_digests/papers/S0166.md
166	S0167	10.1186/s12967-024-06011-y	2024	J Transl Med	Spatial transcriptomics reveals unique metabolic profile and key oncogenic regulators of cervical squamous cell carcinoma.		carcinoma	6	6	cell2location:2;GSEA:2;GSVA:2;SAW:1;Seurat:1;Scanpy:1;CellPhoneDB:1;scVelo:1;pySCENIC:1;Harmony:1	spatial_domain:6;publication_plotting:4;spatial_programs:3;cell_type_mapping:2;spatial_grn_regulon:2;cell_cell_interaction:1;developmental_trajectory:1;spatial_communication:1	paper_digests/papers/S0167.md
167	S0168	10.1186/s12974-024-03161-0	2024	J Neuroinflammation	Integrating single-nucleus RNA sequencing and spatial transcriptomics to elucidate a specialized subpopulation of astrocytes, microglia and vascular cells in brains of mouse model of lipopolysaccharide-induced sepsis-associated encephalopathy.	mouse	brain	6	11	RCTD/spacexr:2;SAW:1;Seurat:1;GSEA:1	publication_plotting:7;cell_type_mapping:5;spatial_cell_type_interpretation:5;spatial_programs:4;quality_control_preprocessing:3;spatial_domain:3;cell_cell_interaction:3;spatial_communication:3	paper_digests/papers/S0168.md
168	S0169	10.1186/s13024-025-00887-0	2025	Mol Neurodegener	MS4A6A/Ms4a6d deficiency disrupts neuroprotective microglia functions and promotes inflammation in Alzheimer's disease model.			5	18		publication_plotting:3;spatial_domain:1;spatial_programs:1	paper_digests/papers/S0169.md
169	S0170	10.1186/s13046-024-03238-x	2025	J Exp Clin Cancer Res	Antibody-based delivery of interleukin-2 modulates the immunosuppressive tumor microenvironment and achieves cure in pancreatic ductal adenocarcinoma syngeneic mice.	mouse	liver;tumor;carcinoma	7	7	SAW:1;Stereopy:1;SingleR:1;GSEA:1	publication_plotting:5;quality_control_preprocessing:2;3d_reconstruction:1;cell_cell_interaction:1;spatial_communication:1;spatial_programs:1;spatial_domain:1	paper_digests/papers/S0170.md
170	S0171	10.1186/s13073-025-01475-z	2025	Genome Med	Spatiotemporal single-cell analysis elucidates the cellular and molecular dynamics of human cornea aging.	human		6	7	GSEA:5;SAW:1;Seurat:1;RCTD/spacexr:1;CellChat:1;pySCENIC:1;Harmony:1	publication_plotting:6;spatial_programs:5;developmental_trajectory:4;spatial_domain:4;cell_type_mapping:2;cell_cell_interaction:2;spatial_communication:2;spatial_grn_regulon:1;spatial_cell_type_interpretation:1	paper_digests/papers/S0171.md
171	S0172	10.1200/jco.2025.43.16_suppl.6025	2025	Journal of Clinical Oncology	Using longitudinal spatial-omics to demonstrate in-situ Epstein-Barr virus reduction in responders to immunotherapy treated nasopharyngeal cancer.		cancer	0	0			paper_digests/papers/S0172.md
172	S0173	10.1200/jco.2025.43.16_suppl.e20030	2025	Journal of Clinical Oncology	Decoding spatial transcriptomics-based heterogeneity of TME in early-stage invasive pulmonary adenocarcinoma.		carcinoma	0	0			paper_digests/papers/S0173.md
173	S0174	10.1242/dev.204346	2025	Development	Morphogenic, molecular and cellular adaptations for unidirectional airflow in the chicken lung.		lung	0	0			paper_digests/papers/S0174.md
174	S0175	10.1364/oe.510835	2024	Opt Express	High-robustness autofocusing method in the microscope with laser-based arrayed spots.			0	0			paper_digests/papers/S0175.md
175	S0176	10.24272/j.issn.2095-8137.2023.205	2024	Zool Res	Spatially resolved transcriptomic profiling of placental development in dairy cow.	bovine	placenta	7	7	SAW:1;Seurat:1;CellChat:1;Harmony:1	spatial_domain:3;cell_cell_interaction:2;spatial_cell_type_interpretation:2;spatial_communication:2;developmental_trajectory:1;spatial_programs:1	paper_digests/papers/S0176.md
176	S0177	10.3389/fcell.2022.1060298	2022	Front Cell Dev Biol	Resolving the gene expression maps of human first-trimester chorionic villi with spatial transcriptome.	human		5	20	cell2location:2;SAW:1;Scanpy:1;CellPhoneDB:1;pySCENIC:1;Squidpy:1	cell_type_mapping:6;cell_cell_interaction:5;spatial_communication:5;spatial_grn_regulon:4;spatial_domain:3;publication_plotting:2;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;spatial_programs:1	paper_digests/papers/S0177.md
177	S0178	10.3389/fcell.2022.878346	2022	Front Cell Dev Biol	A Cellular Resolution Spatial Transcriptomic Landscape of the Medial Structures in Postnatal Mouse Brain.	mouse	brain	3	23	SAW:1;Seurat:1;Scanpy:1;pySCENIC:1;Squidpy:1	spatial_domain:7;publication_plotting:7;quality_control_preprocessing:5;cell_type_mapping:3;spatial_cell_type_interpretation:2;spatial_grn_regulon:2;spatial_programs:1	paper_digests/papers/S0178.md
178	S0179	10.3389/fcell.2023.1112062	2023	Front Cell Dev Biol	Developmental deficits of MGE-derived interneurons in the Cntnap2 knockout mouse model of autism spectrum disorder.	mouse		5	50	SAW:1;Stereopy:1;Seurat:1;Scanpy:1	spatial_domain:10;spatial_programs:3;quality_control_preprocessing:1;spatial_cell_type_interpretation:1;publication_plotting:1;cell_cell_interaction:1;spatial_communication:1;3d_reconstruction:1	paper_digests/papers/S0179.md
179	S0180	10.3389/fgene.2022.858808	2022	Front Genet	Spatial Transcriptome Uncovers the Mouse Lung Architectures and Functions.	mouse	lung	3	10	RCTD/spacexr:1;pySCENIC:1	spatial_domain:5;cell_type_mapping:4;quality_control_preprocessing:3;spatial_grn_regulon:2;spatial_cell_type_interpretation:1	paper_digests/papers/S0180.md
180	S0181	10.3389/fimmu.2024.1522582	2024	Front Immunol	Spatially-resolved analyses of muscle invasive bladder cancer microenvironment unveil a distinct fibroblast cluster associated with prognosis.		cancer	7	36	Seurat:1;CellPhoneDB:1;GSVA:1;GSEA:1	spatial_domain:20;publication_plotting:4;spatial_programs:4;spatial_cell_type_interpretation:3;cell_cell_interaction:2;spatial_communication:2;quality_control_preprocessing:1;spatial_grn_regulon:1	paper_digests/papers/S0181.md
181	S0182	10.3389/fnins.2023.1170355	2023	Front Neurosci	Single-cell chromatin accessibility profiling of cell-state-specific gene regulatory programs during mouse organogenesis.	mouse		4	32	Tangram:2;Seurat:1;Giotto:1	publication_plotting:15;cell_type_mapping:13;developmental_trajectory:11;spatial_domain:7;spatial_programs:6;spatial_cell_type_interpretation:2;spatial_grn_regulon:1;quality_control_preprocessing:1	paper_digests/papers/S0182.md
182	S0183	10.3390/cancers16050846	2024	Cancers (Basel)	Molecular, Metabolic, and Subcellular Mapping of the Tumor Immune Microenvironment via 3D Targeted and Non-Targeted Multiplex Multi-Omics Analyses.		tumor	5	9	Stereopy:1;Scanpy:1;AnnData:1;Harmony:1	spatial_cell_type_interpretation:6;spatial_domain:4;3d_reconstruction:3;quality_control_preprocessing:3;spatial_programs:2;publication_plotting:1	paper_digests/papers/S0183.md
183	S0184	10.4240/wjgs.v17.i4.103494	2025	World J Gastrointest Surg	Single-nucleus RNA sequencing and spatial transcriptomics reveal the mechanism by which Xiaozhiling injection treats internal hemorrhoids.			8	43	Seurat:1	cell_cell_interaction:10;spatial_communication:10;publication_plotting:5;spatial_domain:5;spatial_programs:3;spatial_cell_type_interpretation:3;cell_type_mapping:2	paper_digests/papers/S0184.md
184	S0185	10.46471/gigabyte.110	2024	GigaByte	Generating single-cell gene expression profiles for high-resolution spatial transcriptomics based on cell boundary images.			6	6	Stereopy:1	quality_control_preprocessing:5;3d_reconstruction:3;publication_plotting:1;spatial_domain:1	paper_digests/papers/S0185.md
185	S0186	10.46471/gigabyte.111	2024	GigaByte	SAW: an efficient and accurate data analysis workflow for Stereo-seq spatial transcriptomics.			7	7	SAW:3	quality_control_preprocessing:2;3d_reconstruction:1;spatial_domain:1	paper_digests/papers/S0186.md
186	S0187	10.7554/elife.85873	2023	Elife	Single-cell RNA sequencing reveals cellular and molecular heterogeneity in fibrocartilaginous enthesis formation.			10	11	CellChat:2;Seurat:1;Scanpy:1;AnnData:1;cell2location:1;CellPhoneDB:1;scVelo:1;pySCENIC:1	publication_plotting:9;spatial_domain:8;spatial_programs:4;developmental_trajectory:4;cell_cell_interaction:2;spatial_communication:2;quality_control_preprocessing:1;cell_type_mapping:1;spatial_cell_type_interpretation:1;spatial_grn_regulon:1	paper_digests/papers/S0187.md
187	S0188	10.1101/2022.10.12.511928	2022		FIST-nD: A tool forn-dimensional spatial transcriptomics data imputation via graph-regularized tensor completion			0	0			paper_digests/papers/S0188.md
188	S0189	10.1101/2022.11.04.515095	2022		Integrated transcriptome and lineage analyses reveal novel catecholaminergic cardiomyocytes contributing to the cardiac conduction system in murine heart	mouse	heart	0	0			paper_digests/papers/S0189.md
189	S0190	10.1101/2022.11.09.515447	2022		PAST: latent feature extraction with a Prior-based self-Attention framework for Spatial Transcriptomics			0	0			paper_digests/papers/S0190.md
190	S0191	10.1101/2022.11.16.516728	2022		Efficient reliability analysis of spatially resolved transcriptomics at varying resolutions using SpaSEG			0	0			paper_digests/papers/S0191.md
191	S0192	10.1101/2022.12.07.519417	2022		Spateo: multidimensional spatiotemporal modeling of single-cell spatial transcriptomics			0	0	spateo:1		paper_digests/papers/S0192.md
192	S0193	10.1101/2022.12.08.519589	2022		STOmics-GenX: CRISPR based approach to improve cell identity specific gene detection from spatially resolved transcriptomics			0	0			paper_digests/papers/S0193.md
193	S0194	10.1101/2022.12.31.522366	2022		StereoSiTE: A framework to spatially and quantitatively profile the cellular neighborhood organized iTME			0	0			paper_digests/papers/S0194.md
194	S0195	10.1101/2023.01.08.523162	2023		PASTE2: Partial Alignment of Multi-slice Spatially Resolved Transcriptomics Data			0	0			paper_digests/papers/S0195.md
195	S0196	10.1101/2023.02.02.526814	2023		Construction of a 3D whole organism spatial atlas by joint modeling of multiple slices			0	0			paper_digests/papers/S0196.md
196	S0197	10.1101/2023.02.28.530414	2023		CellBin: a highly accurate single-cell gene expression processing pipeline for high-resolution spatial transcriptomics			0	0			paper_digests/papers/S0197.md
197	S0198	10.1101/2023.04.22.537909	2023		Spatiotemporal transcriptome atlas of human embryos after gastrulation	human	embryo	0	0			paper_digests/papers/S0198.md
198	S0199	10.1101/2023.04.28.538364	2023		Integrated Spatial Transcriptomic and Proteomic Analysis of Fresh Frozen Tissue Based on Stereo-seq			0	0			paper_digests/papers/S0199.md
199	S0200	10.1101/2023.05.03.539335	2023		Spatially-resolved single-cell atlas of ascidian endostyle provides insights into the origin of vertebrate pharyngeal organs	ascidian		0	0			paper_digests/papers/S0200.md
200	S0201	10.1101/2023.05.07.539389	2023		Integrative mapping of spatial transcriptomic and amyloid pathology in Alzheimer’s disease at single-cell resolution			0	0			paper_digests/papers/S0201.md
201	S0202	10.1101/2023.05.11.540374	2023		Mapping cells through time and space with moscot			0	0			paper_digests/papers/S0202.md
202	S0203	10.1101/2023.06.26.546618	2023		Dendrimeric DNA Coordinate Barcoding Design for Spatial RNA Sequencing			0	0			paper_digests/papers/S0203.md
